epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.358,1.3795,2.21611,1.47196,0.9233,0.52448,0.58662,0.26918,1.7617,2.25923,1.66746,0.000659794,0.000659794,0.000659794
2,379.701,0.9968,1.15697,1.13215,0.73606,0.61888,0.76608,0.44666,1.56198,1.6033,1.3212,0.00119514,0.00119514,0.00119514
1,189.221,1.32927,1.70655,1.43919,0.75696,0.53497,0.6009,0.32212,1.92367,2.28837,1.65018,0.000659794,0.000659794,0.000659794
2,379.169,0.93484,0.89897,1.09945,0.84421,0.58736,0.61951,0.34081,1.69111,2.18335,1.64628,0.000888729,0.000888729,0.000888729
3,567.325,0.8142,0.71081,1.03208,0.96239,0.62633,0.6362,0.32418,1.8283,2.02102,1.70771,0.000677663,0.000677663,0.000677663
1,191.61,1.32927,1.70655,1.43919,0.75696,0.53497,0.6009,0.32212,1.92367,2.28837,1.65018,0.000659794,0.000659794,0.000659794
2,378.866,0.93484,0.89897,1.09945,0.84421,0.58736,0.61951,0.34081,1.69111,2.18335,1.64628,0.000888729,0.000888729,0.000888729
