epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.116,0.73195,1.11265,1.16935,0.44057,0.84556,0.65213,0.47671,1.86203,2.48332,1.7714,0.00046,0.00046,0.00046
2,209.987,0.56274,0.78977,1.02459,0.95715,0.85263,0.8962,0.65804,1.16532,1.64815,1.08546,0.0006298,0.0006298,0.0006298
3,276.796,0.52215,0.67551,0.98216,0.91087,0.82105,0.92444,0.65799,1.16206,1.47539,1.08461,0.0004828,0.0004828,0.0004828
1,117.356,0.54605,0.77884,1.02621,0.99817,0.87368,0.94838,0.72002,1.26762,1.33013,1.18049,0.00046,0.00046,0.00046
2,188.007,0.51211,0.70518,0.99317,0.99768,0.88421,0.93932,0.65974,1.1985,1.09428,1.05857,0.0006298,0.0006298,0.0006298
3,254.513,0.48512,0.60607,0.9594,0.9508,0.87368,0.95369,0.6833,1.16541,1.24942,1.12237,0.0004828,0.0004828,0.0004828
