epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,53.6732,0.67063,0.97301,0.91495,1,0.99873,0.995,0.88531,0.52476,0.90832,0.83142,0.000581,0.000581,0.000581
45,54.6595,0.66308,0.92876,0.94323,1,0.99873,0.995,0.88531,0.52476,0.90832,0.83142,0.000548,0.000548,0.000548
46,55.5916,0.64873,0.89812,0.96768,0.99673,1,0.995,0.88531,0.5411,0.87806,0.833,0.000515,0.000515,0.000515
47,57.3828,0.67642,0.93196,0.95407,0.99377,1,0.995,0.86507,0.62842,0.84663,0.85234,0.000482,0.000482,0.000482
48,58.8194,0.62548,0.88872,0.93143,0.99409,1,0.995,0.76583,0.69124,0.92429,0.8689,0.000449,0.000449,0.000449
49,59.7942,0.61562,0.92458,0.88924,0.99409,1,0.995,0.76583,0.69124,0.92429,0.8689,0.000416,0.000416,0.000416
50,60.8545,0.6508,0.8775,0.88174,0.8289,1,0.96167,0.78678,0.64076,0.99691,0.85096,0.000383,0.000383,0.000383
51,63.563,0.55283,1.33531,0.88517,0.99992,1,0.995,0.79117,0.65646,0.93064,0.86763,0.00035,0.00035,0.00035
52,64.9653,0.58739,1.30673,0.91808,1,0.99673,0.995,0.82978,0.67671,0.87064,0.89573,0.000317,0.000317,0.000317
53,65.9603,0.59347,1.24664,0.92361,1,0.99673,0.995,0.82978,0.67671,0.87064,0.89573,0.000284,0.000284,0.000284
54,66.911,0.51614,1.22755,0.85985,1,0.99337,0.995,0.81179,0.66445,0.91629,0.88842,0.000251,0.000251,0.000251
55,67.9141,0.50421,1.18114,0.85302,1,0.99196,0.995,0.8088,0.63231,0.9151,0.87641,0.000218,0.000218,0.000218
56,69.1091,0.59664,1.27607,0.87789,1,0.99221,0.995,0.88193,0.56106,0.88654,0.85739,0.000185,0.000185,0.000185
57,70.6415,0.5385,1.23733,0.85464,1,0.99221,0.995,0.88193,0.56106,0.88654,0.85739,0.000152,0.000152,0.000152
58,71.9137,0.53747,1.24995,0.86387,1,0.99272,0.995,0.9151,0.49589,0.85512,0.84802,0.000119,0.000119,0.000119
59,72.9876,0.564,1.28333,0.88558,1,0.99338,0.995,0.9151,0.45848,0.82148,0.83594,8.6e-05,8.6e-05,8.6e-05
60,73.9963,0.56385,1.25015,0.88629,1,0.99512,0.995,0.9151,0.46065,0.80405,0.82769,5.3e-05,5.3e-05,5.3e-05
