epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.781,0.46283,0.68477,0.97524,0.92601,0.84146,0.96088,0.7086,1.19009,1.43903,1.17998,0.0004,0.0004,0.0004
1,481.456,0.46283,0.68477,0.97524,0.92601,0.84146,0.96088,0.7086,1.19009,1.43903,1.17998,0.0004,0.0004,0.0004
2,1175.28,0.50087,0.66028,0.95987,1,0.84122,0.9794,0.79804,1.0226,1.40166,1.02379,0.0004141,0.0004141,0.0004141
2,1257.55,0.50087,0.66028,0.95987,1,0.84122,0.9794,0.79804,1.0226,1.40166,1.02379,0.0004141,0.0004141,0.0004141
1,788.35,0.46283,0.68477,0.97524,0.92601,0.84146,0.96088,0.7086,1.19009,1.43903,1.17998,0.0004,0.0004,0.0004
2,1111.61,0.50087,0.66028,0.95987,1,0.84122,0.9794,0.79804,1.0226,1.40166,1.02379,0.0004141,0.0004141,0.0004141
1,222.229,0.40029,0.58413,0.92968,0.77666,0.46654,0.56029,0.44896,1.25227,2.15006,1.19707,0.0004,0.0004,0.0004
2,590.6,0.47139,0.59373,0.94067,0.99901,0.91463,0.98496,0.78663,0.97536,1.10804,0.92977,0.0004141,0.0004141,0.0004141
