epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4151,0.90709,1.56145,1.27052,0.94904,0.91463,0.97345,0.80228,1.26084,1.33065,1.37484,0.0004,0.0004,0.0004
2,107.329,0.61936,0.86425,1.03426,1,0.75273,0.85525,0.7005,1.22552,1.7718,1.1851,0.0005494,0.0005494,0.0005494
3,152.121,0.55544,0.75765,0.98492,1,0.90114,0.97906,0.76575,1.1159,1.35813,1.0196,0.0004216,0.0004216,0.0004216
1,125.245,0.6094,0.92935,1.06722,0.95741,0.81707,0.95813,0.7441,1.1952,1.55471,1.23587,0.0004,0.0004,0.0004
2,194.471,0.52844,0.76992,0.98528,0.32529,0.70732,0.27098,0.15821,1.42156,2.97288,1.4168,0.0005494,0.0005494,0.0005494
3,261.904,0.49196,0.69292,0.9607,0.99701,0.73171,0.89005,0.7282,1.11583,1.32367,1.17336,0.0004216,0.0004216,0.0004216
1,110.361,0.49003,0.746,0.99406,0.92942,0.96361,0.98957,0.80582,1.09481,1.1946,1.18741,0.0004,0.0004,0.0004
2,176.063,0.52902,0.6978,0.98171,0.99647,0.78049,0.86826,0.75846,1.23115,1.59385,1.14854,0.0005494,0.0005494,0.0005494
3,240.809,0.48885,0.64673,0.94483,0.99715,0.81707,0.9529,0.80286,0.88167,1.14933,0.91826,0.0004216,0.0004216,0.0004216
