epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4144,0.90205,1.61157,0.99577,0.99607,1,0.995,0.91791,0.5008,0.85211,0.70037,4e-05,4e-05,4e-05
2,48.8914,0.72408,1.15256,0.95112,0.99547,1,0.995,0.95853,0.41262,0.83515,0.69344,6.7e-05,6.7e-05,6.7e-05
3,69.14,0.65505,1.07512,0.93064,0.99524,1,0.995,0.96129,0.38068,0.80279,0.69246,5.44e-05,5.44e-05,5.44e-05
1,17.7043,0.80375,1.13089,0.93597,0.9951,1,0.995,0.95954,0.38714,0.72804,0.67556,4e-05,4e-05,4e-05
2,36.1177,0.6547,0.94326,0.92678,0.9951,1,0.995,0.94754,0.35433,0.72788,0.67909,6.7e-05,6.7e-05,6.7e-05
3,56.1253,0.64741,1.02798,0.92129,0.99509,1,0.995,0.9479,0.34539,0.73924,0.68125,5.44e-05,5.44e-05,5.44e-05
                      1,                 1.0471,                 3.5018,                 1.1809,                0.00333,                      1,                0.70545,                0.53273,                0.78423,                 2.9491,                 0.8809,                  4e-05,                  4e-05,                  4e-05
                      2,                0.95304,                 3.3138,                 1.0988,                0.00333,                      1,                0.96643,                0.71068,                0.69054,                 2.8822,                0.86862,                6.7e-05,                6.7e-05,                6.7e-05
                      3,                0.85985,                 3.0568,                 1.0003,                0.00333,                      1,                0.98591,                0.75107,                0.63613,                 2.8526,                0.87073,               5.44e-05,               5.44e-05,               5.44e-05
